file,question_id,mode,question,gold_answer,model_answer,judge_correct,judge_reason,human_verdict,notes
lme_tr_ctx16k,gpt4_a2d1d1f6,minimal_rules_v5,How many days ago did I harvest my first batch of fresh herbs from the herb garden kit?,3 days ago. 4 days (including the last day) is also acceptable.,3 days ago,True,The model response matches the gold answer of 3 days ago.,,
locomo_temporal_ctx16k,conv-41_q48,dense_direct,When did John have his first firefighter call-out?,The sunday before 3` July 2023,Last Sunday,False,"The response ""Last Sunday"" gives no absolute time anchor and, interpreted relative to the present, does not clearly denote the Sunday before 3 July 2023 as required by the gold answer.",,
memconflict_ctx16k,8518c87c_s52_Q_002,minimal_rules,"When is the user's preference for an ""Evening Walk"" selected?",An Evening Walk is preferred as a post-rehearsal cool-down or to relax in the evening.,Never,False,"The model answered ""Never,"" contradicting the gold answer that an evening walk is preferred as a post-rehearsal cool-down or evening relaxation.",,
lme_tr_ctx16k,4dfccbf8,minimal_rules,What did I do with Rachel on the Wednesday two months ago?,I started taking ukulele lessons with Rachel.,"I don't have that information. None of the retrieved memories mention Rachel or any activity with Rachel on a Wednesday two months ago (February 1, 2023).",False,"The model failed to provide the gold information that the user started ukulele lessons with Rachel, instead claiming no such information exists.",,
heldout_stale_ctx16k,e3bd17b2-00a2-4d3b-8b00-b90ee29ef12f_dim3_query,dense_direct,I’m planning an international trip soon—can you tell me what identification and documents I should apply for or bring so I can travel without issues?,"The user's state has been UPDATED: Citizenship status has changed to naturalized citizen. A correct response must reflect the new state (new memory: ""I’m filling out the paperwork for my first passport application now that my naturalization ceremony is done."") and must NOT present the old state (""Just to be clear on my file, I'm classified as a permanent resident."") as current.","For international travel, you'll need a valid passport. If you're a U.S. citizen without one, you should apply for a passport using your Certificate of Naturalization (original) and a government-issued photo ID like a driver's license. You'll also need a compliant passport photo and complete the DS-11 application form.

The standard processing time is 6-8 weeks, so if you're planning to travel soon, apply early. For your first passport application after naturalization, bring both the original Certificate of Naturalization and a photocopy of your driver's license. Your passport will be mailed to you after processing, and the original certificate will be returned separately.

Make sure to check your specific country's requirements as well, since passport rules vary by destination.",True,The response reflects the updated state (naturalized citizen applying for a first passport with Certificate of Naturalization) and does not present permanent resident status as current.,,
lme_tr_ctx16k,gpt4_7a0daae1,minimal_rules_v5,How many weeks passed between the day I bought my new tennis racket and the day I received it?,1 week,I don't have that information.,False,"The model declined to answer a question that has a concrete gold answer of 1 week, thus omitting the asked information.",,
locomo_temporal_ctx16k,conv-43_q20,dense_direct,Which city was John in before traveling to Chicago?,Seattle,I don't have that information.,False,"The model declined to answer while the gold answer specifies Seattle, and this is not an abstention question.",,
locomo_temporal_ctx16k,conv-42_q22,dense_direct,When did Joanna start writing her third screenplay?,May 2022,"November 7, 2022",False,"The response states November 2022, which contradicts the gold answer of May 2022 and is not within an acceptable off-by-one margin.",,
lme_tr_ctx16k,gpt4_68e94288,minimal_rules,What was the social media activity I participated 5 days ago?,You participated in a social media challenge called #PlankChallenge.,"I don't have that information. The retrieved memories don't contain any information about your personal social media activity from 5 days ago. The memories show information about social media platforms and how to use them, but not your specific activity history.",False,"The gold answer states the user participated in the #PlankChallenge, but the model failed to provide this and instead claimed no information was available, which is incorrect for a non-abstention question.",,
locomo_temporal_ctx16k,conv-41_q61,minimal_rules,When did Maria adopt Shadow?,The week before 13 August 2023,Maria adopted the pup last week (as of 13 August 2023).,True,"The model states the adoption occurred the week before 13 August 2023, matching the gold answer.",,
locomo_temporal_ctx16k,conv-42_q38,minimal_rules,When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022","I don't have that information. The retrieved memories mention Joanna using almond flour in her chocolate cake recipe (conv-42/session_21#r7), but there's no information about her making a dessert with almond milk.",False,"The gold answer specifies a date (the Friday before September 14, 2022), but the model failed to provide it, claiming the information was unavailable.",,
locomo_temporal_ctx16k,conv-43_q6,minimal_rules,In which month's game did John achieve a career-high score in points?,June 2023,July,False,"The gold answer identifies June 2023 as the month of the career-high game, while the model states July, naming a different month rather than a counting slip.",,
lme_tr_ctx16k,gpt4_4ef30696,minimal_rules,How many days passed between the day I finished reading 'The Nightingale' and the day I started reading 'The Hitchhiker's Guide to the Galaxy'?,1 day. 2 days (including the last day) is also acceptable.,"1 day passed between the day you finished reading 'The Nightingale' (January 15, 2022) and the day you started reading 'The Hitchhiker's Guide to the Galaxy' (January 16, 2022). — previously 0 days.",True,"The response states 1 day passed, matching the gold answer of 1 day.",,
lme_tr_ctx16k,gpt4_4cd9eba1,dense_direct,How many weeks have I been accepted into the exchange program when I started attending the pre-departure orientation sessions?,one week,1 week,True,"The response ""1 week"" matches the gold answer ""one week"".",,
heldout_stale_ctx16k,872d8b8c-24f3-4472-a6e3-a7e42d04ff40_dim1_query,minimal_rules,"Based on the conversation history, does the user still spend twenty minutes on mindfulness practice every morning before beginning their first task?","The user's state has been UPDATED: Routine.meditation_mindfulness_duration has effectively dropped to about 2 minutes (only a brief reset window is available). A correct response must reflect the new state (new memory: ""Ever since I became a parent, the only quiet time I can count on is the two minutes while the bottle warms up, so I use that tiny window to reset before the chaos starts."") and must NOT present the old state (""I make sure to spend twenty minutes on mindfulness practice every morning before I begin my first task."") as current.","Yes. The user explicitly states in their current (up-to-date) memory that they ""make sure to spend twenty minutes on mindfulness practice every morning before I begin my first task."" This is confirmed as the user's current habit per the pre-validated memory.",False,"The response presents the outdated twenty-minute routine as current, failing to reflect the updated state of only a two-minute reset window.",,
lme_tr_ctx16k,gpt4_2d58bcd6,dense_direct,"Which book did I finish reading first, 'The Hate U Give' or 'The Nightingale'?",'The Hate U Give',"The user finished ""The Hate U Give"" first. According to the retrieved memories, they stated: ""I was able to finish 'The Hate U Give' just in time for my book club meeting two weeks ago"" while they finished ""The Nightingale"" ""last weekend."" Since ""two weeks ago"" precedes ""last weekend"" in the timeline, ""The Hate U Give"" was completed first.",True,"The response correctly identifies 'The Hate U Give' as the book finished first, matching the gold answer.",,
heldout_stale_ctx16k,fafa5ba8-a3a8-4371-a479-2ae85c4f1d93_dim1_query,qvf_v4,"Based on the conversation history, does the user still identify as a political moderate who prioritizes pragmatic compromise over strict ideology?","The user's state has been UPDATED: Updated political leaning: now identifies with a firmly partisan, uncompromising ideological stance (strong party-line/hardline orientation rather than a moderate/centrist identity). A correct response must reflect the new state (new memory: ""Ever since I started volunteering with the local party chapter, I’ve come to see myself as someone who wants the full platform pushed through as-is—half-measures just feel like wasted time to me now."") and must NOT present the old state (""I've never really fit into the hardline camps; I've always identified as a moderate who cares more about what actually works than sticking to a strict ideology."") as current.","No — previously they were concerned about being watered down by compromise, but now they see themselves as wanting the full platform pushed through as-is.",True,"The response correctly indicates the user no longer identifies as a moderate and now wants the full platform pushed through as-is, matching the updated state.",,
heldout_stale_ctx16k,fdada4cc-f4b8-4111-a2ce-826279acad14_dim2_query,qvf_v4,"Since the user identifies as a practicing Hindu and says that faith is central to who they are, can you recommend a daily routine of devotional practices and observances they can follow this week to deepen their commitment?","The user's state has been UPDATED: Role_and_Identity.religious_affiliation has changed to practicing Muslim (conversion completed and daily practice established). A correct response must reflect the new state (new memory: ""This week I formally took the shahada at my local mosque, and I’ve begun praying the five daily prayers as part of my life now as a Muslim."") and must NOT present the old state (""I identify as a practicing Hindu, and that faith is really central to who I am."") as current.","Based on your current state (per the retrieved memory), you have recently become a Muslim after taking the shahada. Therefore, I cannot recommend Hindu practices—instead, here’s a simple daily routine for your Muslim prayers that fits a 9–5 work schedule:  

- **Fajr**: Wake up early (before work) to pray.  
- **Dhuhr**: Pray during your lunch break (e.g., in a quiet corner or car).  
- **Asr**: Pray just before leaving work or right after returning home.  
- **Maghrib**: Pray soon after sunset (e.g., in your car before driving home).  
- **Isha**: Pray as the last step before bed.  

This routine minimizes disruption to your work schedule while prioritizing consistency—especially when tired or rushed. As you practice, the prayers will naturally become part of your rhythm.  

*(Note: Your question assumes you identify as Hindu, but the memory confirms you are now a Muslim.)*",True,"The response correctly reflects the updated state that the user is now a practicing Muslim who took the shahada, and does not present the Hindu identity as current.",,
lme_ku_ctx16k,c4ea545c,qvf_v4,Do I go to the gym more frequently than I did previously?,Yes,"No. You go to the gym three times per week (Tuesdays, Thursdays, and Saturdays) as you did previously—only the days have changed, not the frequency.",False,"The model states the frequency has not increased, contradicting the gold answer of ""Yes.""",,
lme_ku_ctx16k,0ddfec37,qvf_v4,How many autographed baseballs have I added to my collection in the first three months of collection?,15,15 — previously 15,True,"The response states 15, matching the gold answer.",,
heldout_stale_ctx16k,e19d8f16-39c2-4724-be23-244a0ff07fd6_dim2_query,dense_direct,"Since the user generally aims to be asleep by 10 PM on most nights, can you suggest a detailed evening routine that helps them reliably fall asleep by 10 PM?","The user's state has been UPDATED: Routine.bedtime has shifted earlier to about 8:30 PM. A correct response must reflect the new state (new memory: ""Since I started training for that early-morning swim class, I’ve been turning in around 8:30 most nights so I can get enough rest."") and must NOT present the old state (""These days, I generally aim to be asleep by 10 PM on most nights."") as current.","For someone aiming to sleep by 10 PM, start by shifting into ""evening mode"" around 8 PM with dimmed lights and wrapping up stimulating activities. Set a loose screen cutoff at 9 PM for phones, laptops, and TV. Caffeine should be stopped by 2 PM.

On a normal night, follow this flow:
- 7:30-8:00: Finish dinner or wrap up evening tasks
- 8:00-9:00: Stay in relaxed mode (light chores, talking, or gentle entertainment)
- 9:00: Anchor moment - dim lights and put phone away
- 9:00-9:45: Wind-down activities (shower, stretching, reading)
- 9:45-10:00: Bedtime preparation and sleep

For stressed or late nights, keep the same anchor at 9 PM but shorten the wind-down to just 5 minutes of calming activity (like slow breathing) before bed. The consistency of that single transition moment at 9 PM helps maintain the routine without derailing it.",False,The response builds the routine around the outdated 10 PM bedtime and fails to reflect the updated 8:30 PM bedtime.,,
lme_tr_ctx16k,gpt4_0a05b494,dense_direct,"Who did I meet first, the woman selling jam at the farmer's market or the tourist from Australia?",the woman selling jam at the farmer's market,"I don't have information about who the user met first between these two encounters because the retrieved memories don't contain information about meeting a woman selling jam at a farmer's market. The memories only mention meeting the tourist from Australia ""last Thursday"" (May 18, 2023), but there's no reference to the woman selling jam at a farmer's market.",False,"The model failed to identify the woman selling jam at the farmer's market as the first person met, instead claiming the information was unavailable, which contradicts the gold answer.",,
memconflict_ctx16k,737e8d59_s46_Q_002,minimal_rules,When does the user prefer Detective / Mystery Games?,The user prefers Detective / Mystery Games when craving puzzles or historically themed mysteries to engage the mind.,"The user prefers Detective / Mystery Games as 20-minute microbreaks after a 90-minute study block during the day — previously, they were used as short breaks without specific timing constraints.",False,"The model gives a timing/scheduling condition rather than the gold condition of craving puzzles or historically themed mysteries, so it does not contain the gold information.",,
lme_tr_ctx16k,gpt4_4929293b,minimal_rules_v5,What was the the life event of one of my relatives that I participated in a week ago?,my cousin's wedding,The user was a bridesmaid at their cousin's wedding.,True,"The response identifies the cousin's wedding, matching the gold answer.",,
memconflict_ctx16k,fc1726f1_s9_Q_002,minimal_rules,How has the user's social status changed?,Their social status changed from keeping to oneself to staying in contact.,"The user has been staying in contact with people more regularly lately, indicating an improvement in their social status compared to previous periods when they were socializing less and keeping to themselves.",True,"The response captures the change from keeping to oneself to staying in contact, matching the gold answer.",,
lme_tr_ctx16k,9a707b82,minimal_rules_v5,I mentioned cooking something for my friend a couple of days ago. What was it?,a chocolate cake,I don't have that information.,False,"The gold answer is a chocolate cake, but the model declined to answer a question that was answerable, thus omitting the asked information.",,
memconflict_ctx16k,14e41890_s34_Q_002,minimal_rules,How has the user's social status changed?,It changed from Staying_in_Contact to Seeing_People_More_Often.,"The retrieved memories indicate the user has been seeing people more frequently than before (as of March 7, 2024), but they do not provide any information about changes in social status. The user's observation relates to interaction frequency, not status metrics like influence, relationships, or societal standing. Therefore, the current memories contain no relevant data to answer the question about social status change.",False,"The model explicitly claims the memories contain no information about a change in social status, declining to answer, rather than stating the update from staying in contact to seeing people more often.",,
locomo_temporal_ctx16k,conv-26_q67,dense_direct,When did Caroline go biking with friends?,The weekend before 13 September 2023,"September 9-10, 2023",True,"September 9-10, 2023 is the weekend immediately preceding 13 September 2023, matching the gold answer.",,
memconflict_ctx16k,fc1726f1_s6_Q_006,dense_direct,Which industry did the user move from and to?,They moved from Consulting to Manufacturing.,The user moved from consulting to manufacturing.,True,"The response matches the gold answer exactly, stating the move from consulting to manufacturing.",,
locomo_temporal_ctx16k,conv-42_q13,minimal_rules,When did Joanna have an audition for a writing gig?,"23 March, 2022.","Joanna had an audition for a writing gig on March 23, 2022. This is determined from the session date (24 March, 2022) and her statement that she ""had an audition yesterday"" during the conversation.",True,"The model's date of March 23, 2022 matches the gold answer exactly.",,
lme_ku_ctx16k,7e974930,qvf_v4,How much did I earn at the Downtown Farmers Market on my most recent visit?,$420,"$350 (May 6th, Downtown Farmers Market)",False,"The model gave $350 from an earlier visit rather than the updated most recent earnings of $420, contradicting the gold answer.",,
memconflict_ctx16k,3c2e5fe5_s36_Q_003,minimal_rules,When does the user prefer a mango milkshake?,They prefer a mango milkshake when relaxing at home or as a weekend treat.,The user prefers mango milkshakes when they are relaxing at home or treating themselves on weekends.,True,The response matches the gold answer exactly in substance: relaxing at home or as a weekend treat.,,
locomo_temporal_ctx16k,conv-43_q6,dense_direct,In which month's game did John achieve a career-high score in points?,June 2023,July,False,"The gold answer identifies June 2023, but the model states July, naming the wrong month rather than a mere counting slip in a duration calculation.",,
memconflict_ctx16k,8cb3c9c6_s48_Q_001,dense_direct,Does the user have any siblings?,"The sources conflict: some say the user does have siblings (Yes), while other records describe them as an only child. The correct value is: Yes — the user has siblings.","Yes, the user has two siblings who live nearby and see each other regularly, though they recently discovered an additional brother listed in family notes.",True,"The model affirms the user has siblings, matching the gold's resolved value of ""Yes.""",,
heldout_stale_ctx16k,e7732bdc-0bb6-4eb8-81f4-2596be7734a8_dim2_query,dense_recency,"Since the user’s computer doesn’t have the raw processing power to handle that resolution without crashing, can you suggest a set of workflow changes (like settings adjustments or splitting the job) they should use to get the export to complete reliably on their current machine?","The user's state has been UPDATED: High-end hardware with ample CPU/GPU capacity for high-load rendering A correct response must reflect the new state (new memory: ""I finally upgraded my setup—this new workstation chews through 8K renders without breaking a sweat."") and must NOT present the old state (""I've tried running the export on my end, but my computer just doesn't have the raw processing power to handle that resolution without crashing."") as current.","Based on the retrieved memories, the most reliable solution for your situation is a two-step workflow:

1. First export a mezzanine master in ProRes 422 (macOS) or DNxHR HQX (Windows) at 10-bit, 3840x2160, 23.976 fps with PCM audio (48 kHz, 24-bit)

2. Then encode this master through a dedicated encoder (like Adobe Media Encoder) using H.264 at 45-65 Mbps VBR (for 4K) or H.265 at 20-35 Mbps VBR

This approach keeps the demanding creative render separate from the compression pass, which is much more stable on systems with limited processing power. The mezzanine export is smooth and stable, while the second pass handles the compression without overwhelming your system.",False,"The response treats the user's machine as still underpowered ('limited processing power', 'without overwhelming your system') and fails to acknowledge the updated state of the new high-end workstation that handles 8K renders easily.",,
lme_ku_ctx16k,59524333,dense_direct,What time do I usually go to the gym?,6:00 pm,"7:00 pm on Mondays, Wednesdays, and Fridays",False,"The response states 7:00 pm, contradicting the gold updated answer of 6:00 pm.",,
lme_ku_ctx16k,07741c45,dense_direct,Where do I currently keep my old sneakers?,in a shoe rack in my closet,Under my bed.,False,"The model states the sneakers are under the bed, contradicting the updated answer that they are in a shoe rack in the closet.",,
locomo_temporal_ctx16k,conv-30_q8,minimal_rules,When was Jon in Paris?,28 January 2023,"Jon was in Paris on 28 January 2023, as he mentioned ""I've been to Paris yesterday"" during a session dated 29 January 2023.",True,"The response states 28 January 2023, matching the gold answer exactly.",,
lme_ku_ctx16k,cf22b7bf,qvf_v4,How much weight have I lost since I started going to the gym consistently?,10 pounds,You've lost 10 pounds since starting consistent gym sessions 3 months ago.,True,"The response states 10 pounds, matching the gold answer.",,
heldout_stale_ctx16k,627d6d92-38a3-4795-a055-e760692e6419_dim2_query,dense_direct,"Since the user knows most of the neighbors by name, can you draft a friendly message they could send inviting several neighbors to a casual get-together this weekend?","The user's state has been UPDATED: Neighbor relations have shifted from knowing most neighbors by name to having minimal familiarity because the new layout limits casual encounters. A correct response must reflect the new state (new memory: ""After moving into this new place where my entrance is down a long interior hallway and the windows look out over a parking lot, I’ve realized I barely recognize anyone in the building beyond a couple of faces."") and must NOT present the old state (""Since our units face the shared garden, I know most of the neighbors by name."") as current.",Hey neighbors! I'm hosting a quick garden chat this Saturday at 2 PM if you're feeling like it. Just snacks and casual chat - no obligation to stay long! Let me know if you can make it.,False,"The response drafts an invitation based on the outdated state (shared garden, knowing neighbors) and fails to acknowledge that the user has moved and barely recognizes anyone in the new building.",,
